# name,mass,radius,orbital_period,star_distance,star_mass,discovered,detection_type
GJ 3779 b,,,3.0232,13.748,0.27,2018.0,Radial Velocity
GJ 393 b,,,7.026789999999999,7.0375,0.426,2021.0,Radial Velocity
GJ 3942 b,,,6.905,16.93,0.63,2017.0,Radial Velocity
GJ 3998 b,,,2.64977,17.8,0.5,2016.0,Radial Velocity
GJ 3998 c,,,13.74,17.8,0.5,2016.0,Radial Velocity
GJ 414 A b,,0.2632,50.817,11.892999999999999,0.65,2020.0,Radial Velocity
GJ 414 A c,,0.7833,748.3,11.892999999999999,0.65,2020.0,Radial Velocity
GJ 422 b,,,20.129,12.67,0.35,2014.0,Radial Velocity
GJ 4276 b,,,13.35,21.35,0.406,2018.0,Radial Velocity
GJ 4276 c,,,6.675,21.35,0.406,2018.0,Radial Velocity
GJ 433 b,,,7.3708,9.04,0.48,2009.0,Radial Velocity
GJ 433 c,,,4874.0,9.04,0.48,2012.0,Radial Velocity
GJ 433 d,,,36.052,9.04,0.48,2020.0,Radial Velocity
GJ 436 b,0.07,0.38,2.64394,10.2,0.452,2004.0,Primary Transit
GJ 480 b,,,9.567,14.24,,2020.0,Radial Velocity
GJ 486 b,0.008870000000000001,0.11642999999999999,1.467119,8.0761,0.32299999999999995,2021.0,Primary Transit
GJ 504 b,4.0,0.96,,17.56,1.22,2013.0,Imaging
GJ 536 b,,,8.7076,10.03,0.52,2016.0,Radial Velocity
GJ 570 D,42.5,0.855,,5.91,0.802,2000.0,Imaging
GJ 581 b,,,5.367999999999999,6.21,0.31,2005.0,Radial Velocity
GJ 581 c,,,12.919,6.21,0.31,2007.0,Radial Velocity
GJ 581 e,,,3.153,6.21,0.31,2009.0,Radial Velocity
GJ 625 b,,,14.638,6.49,0.3,2017.0,Radial Velocity
GJ 649 b,,,598.3,10.34,0.54,2009.0,Radial Velocity
GJ 649 c,,,4.4762,10.34,0.54,2013.0,Radial Velocity
GJ 667 C b,,,7.2004,6.84,0.33,2009.0,Radial Velocity
GJ 667 C c,,,28.14,6.84,0.33,2011.0,Radial Velocity
GJ 667 C d,,,91.61,6.84,0.33,2012.0,Radial Velocity
GJ 667 C e,,,62.24,6.84,0.33,2013.0,Radial Velocity
GJ 667 C f,,,39.025999999999996,6.84,0.33,2013.0,Radial Velocity
GJ 667 C g,,,256.2,6.84,0.33,2013.0,Radial Velocity
GJ 674 b,,1.13,4.6944,4.54,0.35,2007.0,Radial Velocity
GJ 676 A b,6.7,,1052.1,16.45,0.71,2009.0,Radial Velocity
GJ 676 A c,6.8,,7337.0,16.45,0.71,2012.0,Radial Velocity
GJ 676 A d,,,3.6,16.45,0.71,2012.0,Radial Velocity
GJ 676 A e,,,35.37,16.45,0.71,2012.0,Radial Velocity
GJ 682 b,,,17.477999999999998,,0.27,2014.0,Radial Velocity
GJ 682 c,,,57.32,,0.27,2014.0,Radial Velocity
GJ 685 b,,,24.16,14.42,0.55,2019.0,Radial Velocity
GJ 687 b,,,38.141999999999996,4.5,0.413,2014.0,Radial Velocity
GJ 687 c,,,727.562,4.5,0.413,2020.0,Radial Velocity
GJ 720A b,,,19.47,15.557,0.57,2021.0,Radial Velocity
GJ 740 b,,,2.37756,11.1017,,2021.0,Radial Velocity
GJ 752 A b,,,105.9,5.9116,0.45,2018.0,Radial Velocity
GJ 758 b,37.9,,109000.0,15.5,0.97,2009.0,Imaging
GJ 785 b,,,74.72,8.911,0.78,2010.0,Radial Velocity
GJ 785 c,,,525.8,8.911,0.78,2011.0,Radial Velocity
GJ 832 b,,,3660.0,4.94,0.45,2008.0,Radial Velocity
GJ 832 c,,,35.68,4.94,0.45,2014.0,Radial Velocity
GJ 849 b,,,1914.0,9.1,0.49,2006.0,Radial Velocity
GJ 849 c,,,7049.0,9.1,0.49,2013.0,Radial Velocity
GJ 86 b,,,15.765999999999998,10.9,0.8,2000.0,Radial Velocity
GJ 876 b,2.3941,,61.082,4.7,0.33399999999999996,2000.0,Radial Velocity
GJ 876 c,0.7598,,30.125999999999998,4.7,0.33399999999999996,2000.0,Radial Velocity
GJ 876 d,0.021741,,1.9380000000000002,4.7,0.33399999999999996,2005.0,Radial Velocity
GJ 876 e,0.04855,,124.4,4.7,0.33399999999999996,2010.0,Radial Velocity
GJ 887 b,,,9.252,3.2871,0.489,2020.0,Radial Velocity
GJ 887 c,,,21.789,3.2871,0.489,2020.0,Radial Velocity
GJ 9066 b,,,241.88299999999998,4.4716,,2020.0,Radial Velocity
GJ 9066 c,,,767.887,4.4716,,2020.0,Radial Velocity
GJ 96 b,,,73.94,,0.6,2018.0,Radial Velocity
GJ 9689 b,,,18.27,30.686,0.59,2021.0,Radial Velocity
GJ 9827 b,0.015319999999999999,0.13641,1.2089765,30.3,0.659,2017.0,Primary Transit
GJ 9827 c,0.00604,0.107,3.648086,30.3,0.659,2017.0,Primary Transit
GJ 9827 d,0.010759999999999999,0.17440999999999998,6.20183,30.3,0.659,2017.0,Primary Transit
GP Com b,26.2,,0.032,,0.33,2016.0,Radial Velocity
GPX-1 b,19.7,1.47,1.744579,,1.68,2020.0,Primary Transit
GQ Lup b,0.013000000000000001,1.8,,140.0,0.7,2005.0,Imaging
GSC 08047-00232 b,25.0,,,86.2977,0.8,2003.0,Imaging
GSC 6214-210 b,17.0,,,145.0,0.6,2010.0,Imaging
GU Psc b,11.0,1.35,,48.0,0.35,2014.0,Imaging
Gaia14aae b,9.24,0.603,0.0345,258.0,,2018.0,Primary Transit
Gl 378 b,,,3.822,14.96,0.56,2019.0,Radial Velocity
Gl 686 b,,,15.53,8.1593,0.42,2019.0,Radial Velocity
Gliese 49 b,,,13.8508,9.856,0.515,2019.0,Radial Velocity
HAT-P-1 b,0.525,1.319,4.46529976,139.0,1.151,2006.0,Primary Transit
HAT-P-10 A b,0.46,1.045,3.7224690000000002,125.0,0.82,2008.0,Primary Transit
HAT-P-11 b,0.0736,0.389,4.887802443,37.89,0.809,2009.0,Primary Transit
HAT-P-11 c,2.3,,3397.0,37.89,0.809,2018.0,Radial Velocity
HAT-P-12 b,0.210489884529,0.9490000000000001,3.2130598,142.5,0.73,2009.0,Primary Transit
